Nom,Sexe,Âge,Département,Fonction,Service,Date d'embauche,Salaire de base,Prime,Statut,Salaire total
Pénélope Nicolas-Rey,Femme,25,Alibori,Développeur,Support,11/15/2016,149495.44,40462.83,CDI,189958.27000000002
Philippe Hoarau,Femme,26,Donga,Chargé de clientèle,Finance,9/12/2017,142325.5,36774.24,CDI,179099.74
Philippe de Laurent,Homme,45,Alibori,Manager,Finance,1/22/2016,234652.68,56367.77,Consultant,291020.45
Isaac Grondin,Femme,58,Zou,Comptable,Commercial,7/22/2017,440135.71,110090,CDI,550225.71
Michel Delannoy,Homme,34,Littoral,Commercial,IT,12/30/2017,385521.41,49515.82,Consultant,435037.23
Astrid-Élise Ribeiro,Femme,54,Atlantique,Développeur,Support,10/2/2018,482965.02,23674.03,CDD,506639.05000000005
Céline Meyer,Homme,44,Borgou,Manager,Technique,1/3/2018,103673.04,26214.01,Stage,129887.04999999999
Patrick Ollivier-Aubry,Homme,56,Borgou,Comptable,RH,10/4/2017,222137.34,60821.1,CDD,282958.44
François Guérin,Homme,38,Donga,Technicien,Technique,9/22/2024,307572.66,57115.7,Consultant,364688.36
Véronique Imbert du Da Silva,Femme,36,Donga,Manager,Finance,1/26/2018,485357.09,24526.41,Consultant,509883.5
Denise Hamon,Femme,38,Atlantique,RH,Commercial,4/9/2019,258655.29,44469.43,CDD,303124.72000000003
Agnès Rocher,Femme,38,Donga,Développeur,Support,4/17/2016,249739.25,72080.54,Stage,321819.79
Stéphanie Daniel,Homme,41,Alibori,Chargé de clientèle,Finance,8/17/2021,416534.8,51676.74,CDI,468211.54
Honoré-Thomas Courtois,Homme,24,Plateau,Chargé de clientèle,Technique,12/27/2019,397865.68,77063.73,Stage,474929.41
Marianne Bernier,Femme,25,Plateau,Commercial,Support,9/5/2016,236657.2,6479.82,CDI,243137.02000000002
Augustin Perrier-Michel,Homme,33,Collines,Chargé de clientèle,Commercial,3/10/2020,215084.82,43590.07,CDI,258674.89
Valérie Gautier,Femme,32,Alibori,Chargé de clientèle,IT,12/14/2021,428714.38,47246.86,Stage,475961.24
Lorraine Meunier,Femme,51,Collines,Chargé de clientèle,Commercial,3/31/2022,305833.65,19161.19,CDI,324994.84
Bernadette Letellier-Hamon,Homme,25,Plateau,RH,Technique,8/7/2017,89583.4,1596.87,CDI,91180.26999999999
Pauline de la Torres,Femme,45,Ouémé,Technicien,RH,2/16/2024,253869.74,6059.02,Consultant,259928.75999999998
Élisabeth-Margot Bigot,Femme,26,Donga,Comptable,RH,1/5/2016,123331.07,24421.35,Consultant,147752.42
Bertrand Turpin,Homme,53,Borgou,Chargé de clientèle,Finance,8/9/2019,443746.28,34031.39,Consultant,477777.67000000004
Valérie Imbert du Marin,Femme,56,Collines,Développeur,Technique,3/13/2023,121253.28,36002.57,Consultant,157255.85
Margot-Josette Navarro,Femme,23,Plateau,Manager,IT,12/19/2023,324901.61,51946.93,Consultant,376848.54
Timothée Da Costa,Femme,26,Collines,Technicien,Technique,8/13/2022,362913.59,81836.75,Stage,444750.34
Joséphine Rodrigues-Letellier,Homme,38,Alibori,Chargé de clientèle,RH,8/31/2019,182284.98,48281.76,CDD,230566.74000000002
Gilles Huet,Homme,38,Borgou,Manager,Support,7/16/2024,97650.3,3697.6,CDI,101347.90000000001
Laetitia Pichon,Femme,38,Zou,Comptable,Technique,7/12/2024,279658.84,6129.12,CDD,285787.96
Alain Maréchal,Femme,42,Mono,Comptable,Commercial,10/14/2023,454743.62,120455.63,CDI,575199.25
Anastasie Lebrun,Femme,41,Borgou,Manager,Support,9/2/2016,294943.52,52348.98,Stage,347292.5
Léon Descamps,Homme,29,Alibori,Comptable,Finance,6/7/2022,131502.98,30950.67,Consultant,162453.65000000002
Augustin Potier-Buisson,Femme,55,Collines,Technicien,Technique,8/12/2018,204714.09,15145.09,Stage,219859.18
Olivier Jacquet,Femme,26,Littoral,RH,Support,4/13/2021,112479.48,13199.02,Stage,125678.5
Alix Lecoq,Femme,55,Mono,Manager,Support,12/11/2023,295083.51,2354.59,CDD,297438.10000000003
Denise Menard,Femme,34,Alibori,Manager,Technique,4/1/2017,300818.15,19290.57,Consultant,320108.72000000003
Clémence Philippe,Homme,32,Borgou,Manager,Technique,8/11/2016,238667.58,59262.61,Consultant,297930.19
Julie De Oliveira-Coulon,Homme,50,Alibori,Comptable,Commercial,1/11/2021,415734.06,18526.46,CDD,434260.52
Bernadette Jacques-Lejeune,Femme,30,Collines,Manager,Technique,9/16/2023,233768.64,44215.19,Stage,277983.83
François Le Fournier,Femme,47,Zou,Développeur,Commercial,8/9/2017,128305.27,36053.53,CDI,164358.8
Noémi-Sabine Humbert,Femme,53,Atlantique,Chargé de clientèle,Technique,4/28/2019,448744.4,50867.63,Consultant,499612.03
Marianne Charles,Femme,23,Plateau,Chargé de clientèle,Commercial,9/2/2023,455274.8,65012.68,CDD,520287.48
Suzanne Lagarde,Femme,32,Atacora,Développeur,Technique,9/27/2021,436897.01,118475.6,CDI,555372.61
Victoire Nguyen,Femme,46,Borgou,RH,Finance,1/20/2016,162665.63,41779.21,Consultant,204444.84
Nathalie-Michèle Blot,Homme,30,Collines,Commercial,Commercial,4/28/2020,234202.79,32831.16,Stage,267033.95
Élodie Bazin de Le Roux,Homme,28,Collines,RH,Commercial,5/20/2024,368863.48,63830.2,Consultant,432693.68
Pierre Noël de Schmitt,Homme,23,Littoral,Manager,Commercial,4/3/2023,258328.56,24480.95,CDI,282809.51
Zoé Blot-Boutin,Homme,49,Couffo,Commercial,Finance,6/11/2022,102671.74,8237.33,CDD,110909.07
Cécile Ferrand,Homme,29,Mono,Manager,Support,1/6/2024,199873.3,42283.74,Consultant,242157.03999999998
Victor-Alphonse Bonnin,Femme,36,Alibori,Chargé de clientèle,RH,2/5/2020,161341.25,28642.21,Stage,189983.46
Pénélope Lévêque,Homme,55,Atacora,Chargé de clientèle,RH,5/28/2020,313224.33,4185.31,CDI,317409.64
Emmanuelle Imbert Le Marie,Femme,43,Couffo,Comptable,Finance,11/14/2018,233975.63,47213.93,Consultant,281189.56
Pauline Pruvost,Femme,32,Couffo,Chargé de clientèle,Technique,9/13/2021,105175.35,24584.23,CDI,129759.58
Aimée-Marie Gosselin,Homme,34,Donga,Développeur,Commercial,4/9/2022,294962.34,66715.69,CDI,361678.03
Henri de Gomez,Homme,58,Ouémé,Chargé de clientèle,Commercial,1/16/2022,277887.47,41784.87,Stage,319672.33999999997
Gérard Petitjean,Homme,25,Littoral,Chargé de clientèle,Finance,2/21/2021,212020.66,50281.36,CDD,262302.02
Maryse Bodin,Homme,34,Borgou,Développeur,IT,2/1/2024,211917.63,37623.37,Stage,249541
Martin Guillou,Femme,58,Atacora,Développeur,Support,11/14/2017,138603.26,27415.74,Consultant,166019
Gérard Le Blanc,Homme,32,Zou,Développeur,RH,11/21/2023,403882.56,25612.28,CDI,429494.83999999997
Hélène Martineau-Brunel,Femme,49,Littoral,Manager,Commercial,6/11/2019,286639.72,77952.66,Consultant,364592.38
Adrien François,Femme,24,Zou,Manager,Support,9/12/2020,169374.46,6676.71,Consultant,176051.16999999998
Claire Langlois,Femme,23,Plateau,Chargé de clientèle,Support,4/30/2019,456670.38,48783.29,Consultant,505453.67
Charles Dos Santos,Femme,56,Alibori,Manager,Support,9/2/2024,109629.38,11003.83,CDD,120633.21
Isaac de Perrot,Homme,59,Donga,Développeur,Technique,12/26/2015,91054.6,15624.08,Consultant,106678.68000000001
Isaac Le Lebrun,Femme,46,Mono,Développeur,IT,3/3/2016,432917.62,91292.75,CDD,524210.37
Roland Navarro de Sauvage,Femme,52,Atacora,Manager,Technique,11/16/2020,260499.07,14382.95,CDI,274882.02
Honoré du Masse,Homme,34,Plateau,RH,Support,2/19/2018,143395.81,29644.09,CDI,173039.9
Susanne Vallée,Homme,60,Plateau,Comptable,Technique,6/18/2024,179788.58,4591.35,CDD,184379.93
Noël Hamel,Femme,24,Couffo,Développeur,RH,9/18/2016,123218.69,14841.59,Consultant,138060.28
Lucas Pinto,Homme,36,Littoral,Développeur,Commercial,9/15/2018,218803.27,30765.53,CDD,249568.8
Françoise Thomas,Femme,55,Donga,Chargé de clientèle,Technique,7/4/2021,147628.73,42670.25,CDI,190298.98
Yves Berthelot,Homme,41,Borgou,Développeur,Support,4/2/2017,170949.89,26959.15,Stage,197909.04
Astrid Diallo,Homme,52,Donga,Manager,Finance,2/12/2021,230208.28,2116.69,CDI,232324.97
Étienne-Marcel Grenier,Femme,31,Atlantique,Développeur,IT,11/13/2018,232362.99,1703.92,CDI,234066.91
Océane Lefort,Femme,22,Ouémé,Technicien,RH,6/29/2020,179246.86,44111.08,CDI,223357.94
Antoine Giraud,Homme,30,Borgou,Comptable,Technique,5/17/2019,263454.32,6642.7,Consultant,270097.02
Agnès de Leclerc,Femme,60,Collines,Technicien,RH,10/1/2023,293657.08,36257.84,Stage,329914.92000000004
Thierry Dufour,Femme,53,Collines,RH,Commercial,12/28/2015,226385.55,65567.7,Stage,291953.25
Stéphane Clerc,Femme,59,Atacora,Développeur,RH,1/27/2020,349746.62,64073.59,CDI,413820.20999999996
Andrée Menard,Femme,28,Plateau,Comptable,Technique,5/16/2024,457453.79,74958.7,CDI,532412.49
Laetitia Petitjean,Homme,53,Littoral,Comptable,Commercial,6/25/2017,295599.41,38609.95,Stage,334209.36
Gilbert Ribeiro,Homme,53,Ouémé,Comptable,Technique,2/6/2019,386109.33,39530.34,CDD,425639.67000000004
Hortense Lévêque,Homme,52,Ouémé,Technicien,Finance,1/11/2016,279798.08,76477.59,Stage,356275.67000000004
Julien-Alfred Roche,Homme,29,Borgou,Manager,Support,10/10/2016,356430.75,45466.02,CDI,401896.77
Julien Collin,Femme,33,Ouémé,Commercial,Commercial,11/14/2023,152952.72,26822.14,CDD,179774.86
Patricia Ribeiro du Toussaint,Femme,58,Littoral,Technicien,Commercial,12/1/2021,317926.03,88720.61,CDD,406646.64
Olivier Salmon,Homme,36,Mono,Technicien,Support,9/13/2020,414391.21,99051.74,Stage,513442.95
Stéphanie Prévost,Homme,32,Atacora,Manager,RH,6/19/2019,278213.09,52527.17,Stage,330740.26
Michelle Dos Santos,Homme,51,Littoral,Manager,RH,6/11/2022,306963.44,55451.95,CDD,362415.39
Stéphanie Lacombe du Courtois,Homme,45,Couffo,Comptable,RH,7/9/2024,107799.28,3652.13,CDD,111451.41
Adélaïde Baudry de Guillaume,Femme,36,Borgou,RH,RH,8/14/2019,185440.45,51694.67,CDD,237135.12
Timothée Lucas,Femme,49,Couffo,Technicien,RH,2/6/2017,325543.18,71671.05,CDI,397214.23
Thibaut Rousset,Femme,46,Plateau,Chargé de clientèle,RH,6/22/2024,464791.04,38719.73,CDD,503510.76999999996
Martin Tanguy,Femme,28,Couffo,Comptable,RH,7/14/2018,83139.55,24111.17,CDD,107250.72
Édouard-Théodore Delaunay,Femme,42,Plateau,Technicien,RH,4/22/2016,209387.42,31769.13,CDI,241156.55000000002
Alexandre Ribeiro-Duval,Homme,54,Alibori,Commercial,Commercial,10/13/2018,90948.95,12897.77,CDI,103846.72
Benjamin-Stéphane Guichard,Femme,51,Collines,Commercial,Finance,11/11/2022,125891.51,37343.47,Stage,163234.97999999998
Théodore Leclercq,Homme,50,Ouémé,Manager,Commercial,9/20/2018,212291.75,1524.81,Consultant,213816.56
Frédéric Leduc-Gimenez,Homme,40,Zou,Commercial,IT,10/5/2019,305433.58,72480.07,CDI,377913.65
Françoise Moreau de la Guyon,Femme,49,Mono,Manager,Commercial,10/10/2024,295430.32,54482.49,Stage,349912.81
Thomas de Lebreton,Femme,29,Littoral,Commercial,IT,12/25/2020,277851.12,76533.67,Stage,354384.79
Paulette Roux,Homme,52,Atacora,RH,Support,4/5/2023,341673.06,93738.02,Consultant,435411.08
Clémence-Philippine Raymond,Femme,42,Atlantique,Développeur,Technique,7/2/2022,287726.48,56777.1,CDD,344503.57999999996
Eugène de la Pons,Homme,49,Alibori,Commercial,Support,9/12/2019,257013.72,46417.12,CDD,303430.84
Juliette Pelletier,Homme,34,Zou,RH,Commercial,12/29/2015,272464.43,77507.74,CDI,349972.17
Élisabeth Fernandez,Homme,46,Atlantique,Commercial,Technique,8/10/2016,241416.18,24892.59,CDI,266308.77
Françoise-Henriette Charles,Homme,55,Donga,Manager,Technique,10/11/2023,284053.36,64036.78,CDD,348090.14
Eugène Pereira,Homme,40,Borgou,Comptable,Technique,12/28/2019,162307.14,17253.73,CDD,179560.87000000002
Thérèse Grenier,Homme,27,Atacora,Technicien,Support,6/5/2022,235925.73,48407.42,CDI,284333.15
Tristan Lecomte,Femme,52,Plateau,Commercial,IT,3/19/2016,491456.81,117103.81,Stage,608560.62
Arthur-Noël Faure,Femme,59,Alibori,Chargé de clientèle,Technique,8/26/2017,346653.65,40183.68,CDI,386837.33
Chantal Thibault,Femme,27,Alibori,RH,IT,4/19/2022,384929.64,76725.38,CDD,461655.02
Étienne Thierry de Lamy,Homme,22,Ouémé,RH,Commercial,11/14/2021,256168.95,73318.03,Consultant,329486.98
Frédérique Morvan Le Launay,Homme,49,Atlantique,RH,RH,12/26/2020,274954.71,60205.47,CDD,335160.18000000005
Claudine Lelièvre,Femme,29,Borgou,RH,Commercial,3/14/2022,368038.89,60818.83,CDD,428857.72000000003
François de Barthelemy,Femme,54,Borgou,Commercial,Finance,10/29/2016,280393.76,23700,Stage,304093.76
Renée Pages,Homme,55,Borgou,RH,Support,11/13/2023,210481.6,9942.39,Consultant,220423.99
Gilles Grondin,Femme,36,Atacora,Chargé de clientèle,Technique,7/9/2020,431684.36,58382.66,CDI,490067.02
Roger Normand,Homme,58,Alibori,Technicien,RH,4/17/2023,239231.03,14964.87,Consultant,254195.9
Agnès Philippe,Femme,40,Collines,Comptable,IT,10/6/2021,217532.93,28938.54,CDD,246471.47
Joseph Masse du Faivre,Homme,56,Couffo,Commercial,RH,7/27/2022,109916.44,7278.51,Consultant,117194.95
Catherine du Delorme,Femme,43,Atacora,Manager,Finance,10/15/2024,149509.78,16169.22,Stage,165679
Agathe Chrétien,Homme,42,Collines,Chargé de clientèle,IT,2/19/2019,207561.71,46431.96,CDI,253993.66999999998
Dominique Cohen,Femme,54,Zou,Commercial,Support,6/21/2022,447184.5,56813.2,CDI,503997.7
Benjamin Perrot,Femme,33,Mono,Chargé de clientèle,Technique,10/4/2020,397048.1,108701.59,CDI,505749.68999999994
Alix Bertrand,Homme,43,Atlantique,Comptable,IT,4/3/2018,320479.26,61271.14,CDI,381750.4
Gérard Allard,Homme,45,Zou,Comptable,Commercial,5/8/2023,344982.23,50329.86,Stage,395312.08999999997
Louis Bernard,Femme,36,Borgou,Manager,RH,7/12/2017,314601.5,81809.23,CDD,396410.73
Frédéric de la Leroux,Homme,34,Collines,RH,Technique,5/7/2018,373882.81,33751.52,Consultant,407634.33
Élise de la Gay,Femme,60,Mono,RH,Finance,4/27/2021,149622.25,16073.32,Consultant,165695.57
Amélie Payet,Homme,51,Ouémé,Comptable,Technique,6/29/2018,284943.31,71536.15,CDD,356479.45999999996
Tristan Riou Le Jourdan,Homme,36,Donga,Développeur,Support,1/11/2022,495217.38,143339.1,CDI,638556.48
Denis Allain,Homme,43,Alibori,Manager,Technique,11/22/2017,314015.97,92993.87,CDD,407009.83999999997
Philippe Bourgeois,Femme,27,Atlantique,Manager,Support,9/10/2018,234131.32,31157.96,CDI,265289.28
Xavier Hoareau,Femme,40,Atlantique,Technicien,Support,8/30/2024,270810.82,4998.43,Consultant,275809.25
Alexandre-Maurice Menard,Femme,43,Atlantique,Comptable,Technique,9/10/2024,314370.01,66623.37,Stage,380993.38
Marine Bailly,Homme,50,Collines,Commercial,Commercial,9/5/2023,229314.87,39994.24,CDD,269309.11
Xavier Robin Le Chauveau,Femme,44,Mono,Développeur,IT,2/12/2016,474030.84,63135.76,CDI,537166.6
Louise Lefèvre,Femme,50,Zou,Développeur,Commercial,10/26/2015,497817.09,130948.21,Consultant,628765.3
Agnès Verdier,Homme,37,Donga,RH,RH,2/28/2024,350931.54,92648.79,Consultant,443580.32999999996
Benoît Ruiz,Femme,25,Plateau,Comptable,Commercial,11/13/2015,151475.19,8814.35,CDD,160289.54
Stéphanie du Da Silva,Homme,31,Zou,Technicien,RH,3/31/2021,272402.11,20552.94,Consultant,292955.05
Andrée Briand,Homme,50,Mono,Comptable,Support,7/21/2024,307798.59,42802.43,CDI,350601.02
Christine Guibert,Homme,43,Ouémé,Commercial,Support,4/24/2024,246037.59,66858.41,Consultant,312896
Timothée Launay de Samson,Homme,29,Borgou,Manager,Support,5/2/2023,153266.73,31577.35,Stage,184844.08000000002
Xavier Grégoire,Femme,60,Alibori,Technicien,Support,2/24/2019,296532.38,43830.17,Consultant,340362.55
Noël Leclercq,Femme,25,Zou,Chargé de clientèle,Commercial,12/26/2020,283597.04,2601.3,CDI,286198.33999999997
Martine Rousseau du Joly,Homme,55,Atacora,Comptable,Finance,2/8/2017,204519.44,30651.51,CDD,235170.95
Hugues Boucher,Homme,43,Alibori,Manager,IT,7/16/2020,356662,19308.62,Consultant,375970.62
Astrid-Camille Simon,Homme,23,Plateau,RH,IT,11/22/2017,452880.19,121972.25,CDI,574852.44
Noémi Guillou,Homme,40,Atlantique,Manager,Commercial,4/23/2016,133427.37,34396.08,CDD,167823.45
Matthieu de Dupré,Homme,49,Donga,RH,Commercial,11/12/2017,146768.52,28022.63,CDD,174791.15
Christophe Letellier,Homme,39,Atacora,Développeur,IT,1/18/2022,440803.16,114217.25,CDD,555020.4099999999
Franck Gautier de la Becker,Homme,60,Ouémé,Développeur,RH,2/12/2023,95222.98,15958.57,Stage,111181.54999999999
Charles Seguin,Femme,53,Donga,Technicien,Finance,3/16/2018,420998.7,95946.32,Stage,516945.02
Noémi Bertin du Seguin,Femme,50,Couffo,Chargé de clientèle,Technique,6/25/2020,238611.38,49173.95,Consultant,287785.33
Laurent du Rocher,Femme,34,Alibori,RH,Technique,8/2/2024,452514.66,31283.82,Stage,483798.48
Éric Georges,Homme,42,Collines,Chargé de clientèle,Support,9/13/2016,111008.42,4741.61,CDI,115750.03
Philippe Laporte,Homme,52,Mono,Chargé de clientèle,Technique,8/6/2019,291189.37,36606.76,Consultant,327796.13
Marcelle Olivier,Femme,22,Zou,Manager,IT,3/17/2019,94609.98,22592.39,Consultant,117202.37
Susan Perrin,Femme,45,Borgou,Technicien,Finance,4/15/2020,290273.27,17556.08,CDI,307829.35000000003
Léon Bonnet-Perrot,Homme,36,Atlantique,Développeur,Finance,2/4/2024,414844.09,53677.83,CDD,468521.92000000004
Joseph Rivière,Femme,54,Atlantique,RH,Technique,1/15/2016,276701.17,12154.69,Consultant,288855.86
Alfred Bigot Le Lucas,Homme,50,Donga,Technicien,RH,7/15/2020,390410.94,67456.31,CDD,457867.25
Margot Le Petitjean,Femme,43,Zou,Développeur,Finance,3/10/2017,465901.72,105826.9,CDD,571728.62
Thomas Grondin,Femme,42,Littoral,Technicien,Finance,11/30/2021,438706.63,103536.92,CDI,542243.55
Daniel Meunier,Homme,48,Plateau,Développeur,Technique,1/2/2023,380740.4,34393.8,CDI,415134.2
Gabriel Martins,Femme,22,Littoral,RH,Finance,7/23/2020,495441.78,123513.12,CDD,618954.9
Marc Lemonnier,Femme,26,Mono,Chargé de clientèle,IT,6/17/2016,128957.87,2952.78,Stage,131910.65
Simone Duhamel,Homme,34,Plateau,RH,IT,4/2/2021,321226.43,45371.63,CDD,366598.06
Brigitte Delattre Le Rémy,Femme,47,Alibori,Technicien,Support,5/21/2017,138514.2,28931.65,CDI,167445.85
Charles de Leduc,Femme,60,Borgou,Manager,Technique,2/29/2016,431457.38,41142.67,Consultant,472600.05
Matthieu Faivre,Femme,35,Alibori,Technicien,Technique,6/17/2017,475118.36,54428.91,Consultant,529547.27
Anaïs Guillaume,Femme,37,Ouémé,RH,Finance,10/2/2019,187570.35,40678.15,CDI,228248.5
Emmanuel Muller,Femme,27,Alibori,RH,RH,1/3/2016,251346.94,69556.38,CDI,320903.32
Lucy Laroche,Femme,48,Atlantique,Chargé de clientèle,Finance,2/14/2018,119928.18,10151.43,CDD,130079.60999999999
Anne Bazin,Femme,43,Plateau,Technicien,Commercial,1/22/2016,345642.3,57959.98,CDD,403602.27999999997
Martin Denis,Femme,50,Littoral,Développeur,Finance,12/19/2019,101018.26,28986.73,CDD,130004.98999999999
Jacqueline Guilbert,Femme,54,Atacora,Commercial,Support,2/9/2022,434209.05,82184.75,Consultant,516393.8
Christelle de Perrier,Homme,56,Donga,RH,Support,10/15/2022,422171.26,105732.94,CDI,527904.2
Marie-Noémi Besnard,Femme,39,Atlantique,RH,Finance,12/6/2020,371113.69,96533.64,Consultant,467647.33
Thomas Chartier,Femme,24,Atlantique,Technicien,IT,3/19/2017,80791.66,16698.38,CDD,97490.04000000001
François Faure-Payet,Homme,30,Plateau,Manager,Finance,10/4/2020,365061.94,80270.45,Stage,445332.39
Pierre Brunel-Chrétien,Femme,59,Atlantique,RH,IT,2/24/2021,402131.43,47088.84,Stage,449220.27
Frédéric Martineau,Femme,38,Littoral,Chargé de clientèle,RH,8/7/2022,473959.54,116862.23,CDI,590821.77
Guy Pichon,Homme,43,Ouémé,Manager,Commercial,4/19/2020,342542.77,102154.49,CDD,444697.26
Tristan Dupuy-Lebreton,Homme,38,Atacora,Chargé de clientèle,Commercial,11/13/2015,383216.73,103476.96,CDI,486693.69
Martin Masson,Femme,56,Littoral,Commercial,Technique,9/25/2020,361190.9,15295.88,CDI,376486.78
Sabine-Renée Vincent,Femme,44,Atlantique,Chargé de clientèle,IT,4/15/2023,287616.63,41849.34,Consultant,329465.97
Daniel Blot,Femme,60,Ouémé,Commercial,RH,6/4/2016,282377.73,77750.68,Consultant,360128.41
Auguste Pires,Femme,23,Borgou,Commercial,RH,10/25/2020,376663.63,40541.2,Stage,417204.83
Marcel Carpentier,Femme,43,Alibori,Commercial,Commercial,11/1/2023,223366.33,23512.51,Stage,246878.84
Valentine Bernard,Femme,42,Collines,Commercial,Commercial,12/8/2022,183009.5,52287.21,CDD,235296.71
Michelle Hervé,Femme,55,Plateau,RH,Technique,10/23/2021,166635.62,36352.11,CDD,202987.72999999998
Suzanne Perrin de Robin,Femme,33,Mono,Manager,Finance,1/15/2017,453879.71,3561.13,CDI,457440.84
Geneviève Godard,Homme,32,Borgou,Manager,IT,11/1/2018,466048.79,6089.53,Consultant,472138.32
Thibault Le Roux,Femme,36,Donga,Manager,RH,1/16/2021,148992.76,40672.83,CDI,189665.59000000003
Andrée David,Femme,43,Collines,Développeur,Finance,9/5/2018,94799.48,20974.43,CDD,115773.91
Bernadette Bègue,Homme,22,Donga,Chargé de clientèle,Finance,11/16/2019,252201.11,17806.94,CDD,270008.05
David Lebrun-Wagner,Femme,49,Donga,Manager,Support,3/2/2018,398230.52,68011.8,CDI,466242.32
Anouk Thierry,Homme,37,Borgou,Développeur,Technique,12/11/2021,97434.58,2949.45,Stage,100384.03
Alice Pons,Homme,44,Borgou,RH,Support,9/16/2019,474551.73,100787.8,CDD,575339.53
Georges Martel,Femme,58,Borgou,Technicien,Finance,7/16/2018,247808.29,43536.23,Consultant,291344.52
Marianne Potier,Femme,44,Atacora,Manager,Support,7/24/2024,317833.63,43508.82,CDD,361342.45
Danielle Durand,Femme,56,Zou,Commercial,Finance,10/11/2020,457824.37,45510.62,Consultant,503334.99
Adrienne Gomes,Homme,27,Mono,Manager,IT,4/20/2024,356787.67,67710.12,Consultant,424497.79
Jules Mercier,Homme,27,Littoral,RH,RH,10/2/2024,175720.26,14738.13,Stage,190458.39
Éric-Honoré Roussel,Homme,25,Alibori,RH,Commercial,2/23/2023,295531.21,21743.86,CDI,317275.07
Martine-Anaïs Rey,Femme,43,Alibori,Technicien,Technique,1/1/2016,217302.52,18632.93,CDI,235935.44999999998
Pauline Delmas,Homme,44,Plateau,Développeur,Technique,12/28/2015,231179.26,12483.29,Consultant,243662.55000000002
Noël-René Leroux,Homme,35,Atacora,Commercial,Finance,7/29/2024,488701.74,50338.18,Consultant,539039.92
Luc Gaudin,Femme,42,Atlantique,Technicien,RH,9/3/2020,353597.8,8787.9,Consultant,362385.7
Adrienne Caron,Femme,47,Atacora,Technicien,Support,5/10/2023,316924.64,21172.33,CDI,338096.97000000003
Alex Pottier,Femme,22,Ouémé,Manager,Technique,11/27/2019,368053.24,8644.28,CDI,376697.52
Paul Alexandre,Femme,40,Atacora,Chargé de clientèle,Support,6/6/2016,147844.84,22904.92,Stage,170749.76
Roland Huet-Boyer,Femme,35,Alibori,RH,Technique,10/21/2023,321915.75,91245.12,Stage,413160.87
Éric Rousset-Rey,Homme,24,Donga,Commercial,RH,9/17/2019,197517.52,9492.45,CDI,207009.97
Colette de Grégoire,Femme,29,Ouémé,Manager,Finance,1/21/2023,328184.05,85618.37,Stage,413802.42
Thibaut Millet,Femme,58,Ouémé,Manager,Commercial,12/19/2015,116366.19,33057.8,CDI,149423.99
Célina-Capucine Moreno,Femme,46,Atlantique,Chargé de clientèle,Finance,10/4/2022,115338.24,12930.31,CDI,128268.55
Gilles Chevalier,Femme,52,Donga,RH,Commercial,12/13/2022,390583.54,113155.98,CDD,503739.51999999996
Claire Ruiz,Homme,39,Borgou,Comptable,IT,12/3/2020,371847.44,49039.98,CDI,420887.42
Benoît de Rousseau,Homme,34,Alibori,Technicien,Technique,11/27/2018,124175.55,32839.26,Consultant,157014.81
André Martineau,Femme,24,Couffo,RH,Technique,3/6/2020,315121.93,13651.12,CDI,328773.05
Élodie Boutin de Martel,Homme,33,Mono,Technicien,Technique,5/11/2019,272877.14,6769.07,CDD,279646.21
Alain Hardy,Femme,34,Ouémé,Comptable,Commercial,10/18/2016,205474.69,21961.3,Stage,227435.99
Sébastien Le Hamon,Femme,26,Plateau,Chargé de clientèle,Finance,6/7/2021,499101.38,147057.23,CDD,646158.61
Antoine Dupuis,Femme,49,Atlantique,Chargé de clientèle,Support,7/16/2017,175688.63,45373.76,Stage,221062.39
Zacharie Le Meyer,Femme,53,Collines,Technicien,RH,12/21/2020,299729.62,51007.55,CDI,350737.17
Élise de Morin,Femme,26,Atacora,Développeur,Technique,11/20/2020,204376.75,14681.17,CDD,219057.92
Pénélope Baron,Homme,35,Couffo,Comptable,IT,1/18/2023,108040.42,91.03,Consultant,108131.45
Anastasie Coste de la Boucher,Femme,40,Atacora,Technicien,RH,5/11/2016,360598.17,89161.12,Consultant,449759.29
Adélaïde Barre,Femme,24,Atlantique,RH,Technique,5/8/2016,198586.04,6288.7,Consultant,204874.74000000002
Michelle Ollivier,Homme,36,Zou,Chargé de clientèle,RH,1/25/2024,214853.63,29800.08,Stage,244653.71000000002
Marie Cousin,Homme,32,Collines,Chargé de clientèle,IT,9/30/2020,127352.26,9128.85,CDI,136481.11
Édith-Jeannine Dos Santos,Femme,55,Donga,Technicien,Finance,7/15/2020,265373.07,59293.85,CDI,324666.92
Victoire Gaillard,Homme,27,Mono,Développeur,Finance,5/10/2022,243543.26,44542.13,Consultant,288085.39
Thibaut David,Homme,40,Atacora,Comptable,Finance,5/6/2020,384094.87,6233.31,CDD,390328.18
Paul Bègue,Femme,58,Borgou,Chargé de clientèle,Support,7/24/2018,393902.52,27691.59,Consultant,421594.11000000004
Simone-Margaux Cohen,Femme,26,Plateau,RH,Finance,9/22/2023,351505.67,55145.18,Consultant,406650.85
Tristan Guyot,Homme,29,Collines,Comptable,Support,1/13/2021,457549.37,68248.62,Consultant,525797.99
Alexandria Blanchard,Femme,51,Atacora,Manager,Finance,10/6/2016,194214.12,46790.53,Stage,241004.65
Eugène Simon-Noël,Homme,60,Alibori,Chargé de clientèle,Commercial,11/28/2020,448054.82,27108.03,CDD,475162.85
Hugues Carlier,Homme,36,Couffo,Technicien,Commercial,6/6/2018,154237.02,25413.32,CDD,179650.34
